,atom,residue,q,q_unconstrained
0,CE1,terB,-0.25513375969999785,-0.31357194825705575
1,HE1,terB,0.12417073859999704,0.17655626265580718
2,HE2,terB,0.13096302109999752,0.18699388179262297
3,CD1,terB,-0.10090762640000131,-0.16993735706962113
4,HD1,terB,0.1009076264000008,0.14428054282582536
5,CD2,terB,-0.04599375649999786,0.43218207173154183
6,HD2,terB,0.11331201150000136,-0.019623725510691015
7,OD1,terB,-0.20173885840000258,-0.5549353487248709
8,CD3,terB,0.033551174199998264,-0.01713405078045484
9,CD4,terB,0.03355117419999803,-0.013752347775213928
10,CD5,terB,-0.04599375649999866,0.45732592106506065
11,HD3,terB,0.11331201150000013,-0.023128290670748376
12,CA1,terB,0.5711663396999997,0.608756921802131
13,OA1,terB,-0.4576323077000002,-0.4496621752868842
14,OA2,terB,-0.3805943789999996,-0.49980244150412356
15,CA2,terB,0.2670603468999999,0.3557011755598669
16,CA3,terB,0.18302855519999967,0.21122953708356781
17,NA1,terB,-0.7544845975000004,-0.5997251271099305
18,HA1,terB,0.2832460325000003,0.2530394316920672
19,HA2,terB,0.2882100098000001,0.278836445573531
20,CB1,terB,0.5711663397000003,0.606264948097993
21,OB1,terB,-0.45763230769999963,-0.44628011460754247
22,OB2,terB,-0.3805943789999992,-0.5196111840539558
23,CB2,terB,0.26706034690000047,0.38421508275166893
24,CB3,terB,0.1830285552,0.15056290996906754
25,NB1,terB,-0.7544845975,-0.5043550135697243
26,HB1,terB,0.2832460325000004,0.24604778958332013
27,HB2,terB,0.28821000980000006,0.26185569914510537
28,CD6,terB,-0.1009076264000046,-0.27081692333942625
29,HD4,terB,0.10090762639999805,0.12992488152163129
30,CD1,OXO0,-0.10090762639999673,-0.1412637159113794
31,HD1,OXO0,0.10090762639999841,0.11296285566290026
32,CD2,OXO0,-0.04599375649999923,0.4278124613026001
33,HD2,OXO0,0.11331201150000007,-0.00877345539235598
34,OD1,OXO0,-0.20173885839999886,-0.4633586846166413
35,CD3,OXO0,0.033551174200000214,-0.037380125617655864
36,CD4,OXO0,0.03355117419999738,-0.04352491287419973
37,CD5,OXO0,-0.04599375649999909,0.417936935342348
38,HD3,OXO0,0.11331201149999948,-0.03377112124581095
39,CF1,OXO0,0.8207500529721538,0.5757945860147434
40,OF1,OXO0,-0.44889263675951063,-0.47867586597783734
41,OF2,OXO0,-0.5089583669918616,-0.4037206061916776
42,CF2,OXO0,0.10723435242424713,0.28682638382272607
43,CA4,OXO0,0.6084618357282154,0.24556996024035194
44,NA2,OXO0,-1.3482300844416335,-0.4423746461454001
45,HA3,OXO0,0.5999119332722155,0.25721796862771895
46,HA4,OXO0,0.5515256778618215,0.27516156520292606
47,HA5,OXO0,0.6181972359343535,0.20541487523468288
48,CG1,OXO0,0.8207500529721493,0.5925038753781684
49,OG1,OXO0,-0.44889263675950947,-0.4726884698542193
50,OG2,OXO0,-0.5089583669918566,-0.4220248852387567
51,CG2,OXO0,0.10723435242424559,0.3290793220506005
52,CB4,OXO0,0.6084618357282148,0.17919208937832273
53,NB2,OXO0,-1.3482300844416333,-0.3245697740581869
54,HB3,OXO0,0.599911933272215,0.24437316309711202
55,HB4,OXO0,0.5515256778618213,0.2239774237878986
56,HB5,OXO0,0.6181972359343528,0.17025569495618317
57,CD6,OXO0,-0.10090762640000049,-0.24626529628146104
58,HD4,OXO0,0.10090762639999984,0.12223641879367163
59,CC1,terA,-0.24963943739999897,-0.1210994695574667
60,HC1,terA,0.12395269960000221,0.10966963773493392
61,CC2,terA,0.26588896029999964,0.1742939187105435
62,CC3,terA,-0.3168787216999996,-0.12220630779507038
63,HC2,terA,0.17667649919999887,0.12464856300878352
64,CC4,terA,0.020804415900000095,-0.07053081327213309
65,HC3,terA,0.08977276040000043,0.10229590679451218
66,CC5,terA,-0.2729969585000002,-0.05032197969295518
67,HC4,terA,0.16241978209999994,0.1042651627763497
68,CC6,terA,-0.05577832920000009,-0.03780623729816531
69,HC5,terA,0.11200908740000162,0.10243621212854456
70,CC7,terA,-0.15567306299999997,-0.15546255467619197
71,HC6,terA,0.09944230489999902,0.1042211243309957
72,CD1,terA,-0.10090762639999987,-0.16481249035891252
73,HD1,terA,0.10090762639999969,0.12263916435073834
74,CD2,terA,-0.045993756500000205,0.4203675821048984
75,HD2,terA,0.11331201149999953,0.0313040648327376
76,OD1,terA,-0.20173885840000055,-0.4845021207196201
77,CD3,terA,0.0335511741999995,-0.1375402252096681
78,CD4,terA,0.03355117420000013,-0.0447671871348017
79,CD5,terA,-0.0459937565,0.4748222750716864
80,HD3,terA,0.11331201150000074,-0.03201391849691274
81,CA1,terA,0.5711663396999997,0.6125270405074251
82,OA1,terA,-0.45763230770000035,-0.49667048365076066
83,OA2,terA,-0.3805943789999987,-0.45479786518438503
84,CA2,terA,0.2670603469000019,0.33031909035085216
85,CA3,terA,0.18302855519999894,0.23319053421996946
86,NA1,terA,-0.754484597499999,-0.6095389227496735
87,HA1,terA,0.2832460325000001,0.29009646771743136
88,HA2,terA,0.2882100097999999,0.251267884055122
89,CB1,terA,0.5711663397000011,0.6449357735463356
90,OB1,terA,-0.45763230770000035,-0.46816264765454474
91,OB2,terA,-0.3805943789999999,-0.4402366777353031
92,CB2,terA,0.2670603469000002,0.35261518080843324
93,CB3,terA,0.18302855519999986,0.2037371571880446
94,NB1,terA,-0.7544845975000003,-0.5842068356750233
95,HB1,terA,0.28324603250000013,0.2763325366619173
96,HB2,terA,0.2882100098000003,0.25689962797208316
97,CD6,terA,-0.10090762640000056,-0.26187248856195133
98,HD4,terA,0.10090762640000077,0.08198777886369134
