,atom,residue,q,q_unconstrained,q_qtot_constrained,q_cg_qtot_constrained,q_sym_qtot_constrained
0,CE1,terB,-0.4890573101421439,-0.48725090877514926,-0.4890573101421439,-0.4890573101421439,-0.4890573101421439
1,HE1,terB,0.2065959069117077,0.20545729034933138,0.2065959069117077,0.2065959069117077,0.2065959069117077
2,HE2,terB,0.20950442044826462,0.20583643695045958,0.20950442044826462,0.20950442044826462,0.20950442044826462
3,CD1,terB,-0.11733971562955381,-0.11904545031852196,-0.11733971562955381,-0.11733971562955381,-0.11733971562955381
4,HD1,terB,0.15409497821083928,0.15324373399568214,0.15409497821083928,0.15409497821083928,0.15409497821083928
5,CD2,terB,0.197293450331115,0.2106418597883913,0.197293450331115,0.197293450331115,0.197293450331115
6,HD2,terB,0.06546350400342736,0.059880611428782655,0.06546350400342736,0.06546350400342736,0.06546350400342736
7,OD1,terB,-0.3802652565839554,-0.3840797173015973,-0.3802652565839554,-0.3802652565839554,-0.3802652565839554
8,CD3,terB,0.17280838256990919,0.1731820564905147,0.17280838256990919,0.17280838256990919,0.17280838256990919
9,CD4,terB,0.2985168528136228,0.28437349531110206,0.2985168528136228,0.2985168528136228,0.2985168528136228
10,CD5,terB,-0.16430479149838462,-0.1566624242139948,-0.16430479149838462,-0.16430479149838462,-0.16430479149838462
11,HD3,terB,0.24359453141742526,0.2401250174646919,0.24359453141742526,0.24359453141742526,0.24359453141742526
12,CA1,terB,0.13822513243748788,0.15555897363131002,0.13822513243748788,0.13822513243748788,0.13822513243748788
13,OA1,terB,-0.33813364478287833,-0.34757098461609987,-0.33813364478287833,-0.33813364478287833,-0.33813364478287833
14,OA2,terB,-0.283251179559211,-0.2812458468548012,-0.283251179559211,-0.283251179559211,-0.283251179559211
15,CA2,terB,0.3065567274850816,0.30252770184151373,0.3065567274850816,0.3065567274850816,0.3065567274850816
16,CA3,terB,0.19683969305411586,0.1984059518485944,0.19683969305411586,0.19683969305411586,0.19683969305411586
17,NA1,terB,-0.8503518562794876,-0.8503029231860276,-0.8503518562794876,-0.8503518562794876,-0.8503518562794876
18,HA1,terB,0.2854175924095956,0.28627386075827305,0.2854175924095956,0.2854175924095956,0.2854175924095956
19,HA2,terB,0.3557027811314781,0.3514195195173681,0.3557027811314781,0.3557027811314781,0.3557027811314781
20,CB1,terB,0.45347562354151044,0.4674161263547636,0.45347562354151044,0.45347562354151044,0.45347562354151044
21,OB1,terB,-0.41079431304150515,-0.4165727524354074,-0.41079431304150515,-0.41079431304150515,-0.41079431304150515
22,OB2,terB,-0.5045584368587666,-0.5063832467095473,-0.5045584368587666,-0.5045584368587666,-0.5045584368587666
23,CB2,terB,0.3898047812641615,0.38411616278313715,0.3898047812641615,0.3898047812641615,0.3898047812641615
24,CB3,terB,0.13393269245402808,0.1351567027642834,0.13393269245402808,0.13393269245402808,0.13393269245402808
25,NB1,terB,-0.7305708022331209,-0.7335930692218455,-0.7305708022331209,-0.7305708022331209,-0.7305708022331209
26,HB1,terB,0.31727348050290366,0.3144158279712206,0.31727348050290366,0.31727348050290366,0.31727348050290366
27,HB2,terB,0.25586722211889723,0.2625200011307108,0.25586722211889723,0.25586722211889723,0.25586722211889723
28,CD6,terB,-0.2173012081036742,-0.21286685437800063,-0.2173012081036742,-0.2173012081036742,-0.2173012081036742
29,HD4,terB,0.1620542537249241,0.16011946625291923,0.1620542537249241,0.1620542537249241,0.1620542537249241
30,CD1,OXO0,-0.21426335075702446,-0.21484455595286017,-0.21426335075702446,-0.21426335075702446,-0.21426335075702446
31,HD1,OXO0,0.14789823375851682,0.1457523217827535,0.14789823375851682,0.14789823375851682,0.14789823375851682
32,CD2,OXO0,0.2572714710530843,0.24989459551741994,0.2572714710530843,0.2572714710530843,0.2572714710530843
33,HD2,OXO0,0.0217244959578396,0.021166374706643162,0.0217244959578396,0.0217244959578396,0.0217244959578396
34,OD1,OXO0,-0.3691450298890455,-0.35910012927980817,-0.3691450298890455,-0.3691450298890455,-0.3691450298890455
35,CD3,OXO0,-0.06141922212269245,-0.0646521044159825,-0.06141922212269245,-0.06141922212269245,-0.06141922212269245
36,CD4,OXO0,0.35152546165804927,0.3541968980281569,0.35152546165804927,0.35152546165804927,0.35152546165804927
37,CD5,OXO0,0.2510190758098924,0.24045650359170417,0.2510190758098924,0.2510190758098924,0.2510190758098924
38,HD3,OXO0,0.11746266663927137,0.11959253691993994,0.11746266663927137,0.11746266663927137,0.11746266663927137
39,CF1,OXO0,-0.7936760669181916,-0.7926269401177849,-0.7936760669181916,-0.7936760669181916,-0.7936760669181916
40,OF1,OXO0,-0.20068516342064918,-0.20376974110882295,-0.20068516342064918,-0.20068516342064918,-0.20068516342064918
41,OF2,OXO0,0.5556178474640353,0.5562015121392023,0.5556178474640353,0.5556178474640353,0.5556178474640353
42,CF2,OXO0,0.12632128096913425,0.12616844040882205,0.12632128096913425,0.12632128096913425,0.12632128096913425
43,CA4,OXO0,0.15324636964719862,0.14173071882971738,0.15324636964719862,0.15324636964719862,0.15324636964719862
44,NA2,OXO0,-0.1904572131825274,-0.15505265712241886,-0.1904572131825274,-0.1904572131825274,-0.1904572131825274
45,HA3,OXO0,0.10456318162308188,0.09319010265726757,0.10456318162308188,0.10456318162308188,0.10456318162308188
46,HA4,OXO0,0.2624487342592128,0.25134627900820095,0.2624487342592128,0.2624487342592128,0.2624487342592128
47,HA5,OXO0,0.0724169785156208,0.06436746064979591,0.0724169785156208,0.0724169785156208,0.0724169785156208
48,CB1,OXO0,0.5815269117754335,0.6008796346085445,0.5815269117754335,0.5815269117754335,0.5815269117754335
49,OB1,OXO0,-0.508402382293493,-0.5145118878177588,-0.508402382293493,-0.508402382293493,-0.508402382293493
50,OB2,OXO0,-0.2086775289383317,-0.211203406082181,-0.2086775289383317,-0.2086775289383317,-0.2086775289383317
51,CB2,OXO0,0.26023765949192706,0.25866666829079243,0.26023765949192706,0.26023765949192706,0.26023765949192706
52,CB3,OXO0,0.20275544604234075,0.19665200746909858,0.20275544604234075,0.20275544604234075,0.20275544604234075
53,NB1,OXO0,-0.5692684982441272,-0.5573188898974357,-0.5692684982441272,-0.5692684982441272,-0.5692684982441272
54,HB1,OXO0,0.2956080406445281,0.2895891023289409,0.2956080406445281,0.2956080406445281,0.2956080406445281
55,HB2,OXO0,0.20759225481032348,0.2079352781624021,0.20759225481032348,0.20759225481032348,0.20759225481032348
56,CD6,OXO0,-0.2848223558586939,-0.27788022616511693,-0.2848223558586939,-0.2848223558586939,-0.2848223558586939
57,HD4,OXO0,0.1493209725819109,0.14583311838584403,0.1493209725819109,0.1493209725819109,0.1493209725819109
58,CC1,terA,-0.42794073520309067,-0.4276991818993517,-0.42794073520309067,-0.42794073520309067,-0.42794073520309067
59,HC1,terA,0.1962859008663247,0.19587608698272999,0.1962859008663247,0.1962859008663247,0.1962859008663247
60,CC2,terA,0.3840061024334092,0.38675000882315963,0.3840061024334092,0.3840061024334092,0.3840061024334092
61,CC3,terA,-0.23566759863528117,-0.24008704142900789,-0.23566759863528117,-0.23566759863528117,-0.23566759863528117
62,HC2,terA,0.15105455887867125,0.151955917443886,0.15105455887867125,0.15105455887867125,0.15105455887867125
63,CC4,terA,-0.12859162560069035,-0.12409218050454482,-0.12859162560069035,-0.12859162560069035,-0.12859162560069035
64,HC3,terA,0.14266866395158262,0.13950483162981772,0.14266866395158262,0.14266866395158262,0.14266866395158262
65,CC5,terA,-0.1423719929047711,-0.13959496142877614,-0.1423719929047711,-0.1423719929047711,-0.1423719929047711
66,HC4,terA,0.14318783824359319,0.13889547845145783,0.14318783824359319,0.14318783824359319,0.14318783824359319
67,CC6,terA,-0.09038854848790494,-0.08524758174333263,-0.09038854848790494,-0.09038854848790494,-0.09038854848790494
68,HC5,terA,0.13588894838056093,0.13124760138639327,0.13588894838056093,0.13588894838056093,0.13588894838056093
69,CC7,terA,-0.28073830383407494,-0.28426740154985247,-0.28073830383407494,-0.28073830383407494,-0.28073830383407494
70,HC6,terA,0.15794949642273717,0.1587329755365002,0.15794949642273717,0.15794949642273717,0.15794949642273717
71,CD1,terA,-0.17073084415603257,-0.17431073789569898,-0.17073084415603257,-0.17073084415603257,-0.17073084415603257
72,HD1,terA,0.12558997252749143,0.12460885326383934,0.12558997252749143,0.12558997252749143,0.12558997252749143
73,CD2,terA,0.38784555575379037,0.40246362036909356,0.38784555575379037,0.38784555575379037,0.38784555575379037
74,HD2,terA,0.057234652945854544,0.05316342463296677,0.057234652945854544,0.057234652945854544,0.057234652945854544
75,OD1,terA,-0.5420094013574501,-0.5518600522693773,-0.5420094013574501,-0.5420094013574501,-0.5420094013574501
76,CD3,terA,-0.11543472856535514,-0.1265382349209661,-0.11543472856535514,-0.11543472856535514,-0.11543472856535514
77,CD4,terA,-0.017063579891382696,-0.021459014874000454,-0.017063579891382696,-0.017063579891382696,-0.017063579891382696
78,CD5,terA,0.5411898171821886,0.5588604629955694,0.5411898171821886,0.5411898171821886,0.5411898171821886
79,HD3,terA,-0.022543688147449302,-0.026887118260214195,-0.022543688147449302,-0.022543688147449302,-0.022543688147449302
80,CA1,terA,0.673222682269259,0.6773936760356963,0.673222682269259,0.673222682269259,0.673222682269259
81,OA1,terA,-0.5315680491311658,-0.5317364409665246,-0.5315680491311658,-0.5315680491311658,-0.5315680491311658
82,OA2,terA,-0.5940700084366983,-0.5993010765622326,-0.5940700084366983,-0.5940700084366983,-0.5940700084366983
83,CA2,terA,0.43406550144812617,0.4308554480613766,0.43406550144812617,0.43406550144812617,0.43406550144812617
84,CA3,terA,0.21920513413525286,0.22936623882857707,0.21920513413525286,0.21920513413525286,0.21920513413525286
85,NA1,terA,-0.852054831700699,-0.8534974455177798,-0.852054831700699,-0.852054831700699,-0.852054831700699
86,HA1,terA,0.3339752227444593,0.33057206882108314,0.3339752227444593,0.3339752227444593,0.3339752227444593
87,HA2,terA,0.27682067471509336,0.2743677989466321,0.27682067471509336,0.27682067471509336,0.27682067471509336
88,CB1,terA,0.6425404987232556,0.6718359050435024,0.6425404987232556,0.6425404987232556,0.6425404987232556
89,OB1,terA,-0.430408735078619,-0.44091514323853936,-0.430408735078619,-0.430408735078619,-0.430408735078619
90,OB2,terA,-0.44894990451738653,-0.45541109845140315,-0.44894990451738653,-0.44894990451738653,-0.44894990451738653
91,CB2,terA,0.23974510552481348,0.23691994317506582,0.23974510552481348,0.23974510552481348,0.23974510552481348
92,CB3,terA,0.2012138699616408,0.1967285362584917,0.2012138699616408,0.2012138699616408,0.2012138699616408
93,NB1,terA,-0.6409753598281918,-0.6236366781548361,-0.6409753598281918,-0.6409753598281918,-0.6409753598281918
94,HB1,terA,0.23832505364671175,0.23493244846455513,0.23832505364671175,0.23832505364671175,0.23832505364671175
95,HB2,terA,0.2856615330697601,0.2782467732946872,0.2856615330697601,0.2856615330697601,0.2856615330697601
96,CD6,terA,-0.1565166464488191,-0.16379288380669807,-0.1565166464488191,-0.1565166464488191,-0.1565166464488191
97,HD4,terA,0.08551403490604721,0.08935622621039503,0.08551403490604721,0.08551403490604721,0.08551403490604721
